statePostal,state,州名
AL,Alabama,アラバマ
AK,Alaska,アラスカ
AZ,Arizona,アリゾナ
AR,Arkansas,アーカンソー
CA,California,カリフォルニア
CO,Colorado,コロラド
CT,Connecticut,コネティカット
DE,Delaware,デラウェア
FL,Florida,フロリダ
GA,Georgia,ジョージア
HI,Hawaii,ハワイ
ID,Idaho,アイダホ
IL,Illinois,イリノイ
IN,Indiana,インディアナ
IA,Iowa,アイオワ
KS,Kansas,カンザス
KY,Kentucky,ケンタッキー
LA,Louisiana,ルイジアナ
ME,Maine,メーン
MD,Maryland,メリーランド
MA,Massachusetts,マサチューセッツ
MI,Michigan,ミシガン
MN,Minnesota,ミネソタ
MS,Mississippi,ミシシッピ
MO,Missouri,ミズーリ
MT,Montana,モンタナ
NE,Nebraska,ネブラスカ
NV,Nevada,ネバダ
NH,New Hampshire,ニューハンプシャー
NJ,New Jersey,ニュージャージー
NM,New Mexico,ニューメキシコ
NY,New York,ニューヨーク
NC,North Carolina,ノースカロライナ
ND,North Dakota,ノースダコタ
OH,Ohio,オハイオ
OK,Oklahoma,オクラホマ
OR,Oregon,オレゴン
PA,Pennsylvania,ペンシルベニア
RI,Rhode Island,ロードアイランド
SC,South Carolina,サウスカロライナ
SD,South Dakota,サウスダコタ
TN,Tennessee,テネシー
TX,Texas,テキサス
UT,Utah,ユタ
VT,Vermont,バーモント
VA,Virginia,バージニア
WA,Washington,ワシントン
WV,West Virginia,ウエストバージニア
WI,Wisconsin,ウィスコンシン
WY,Wyoming,ワイオミング
DC,District of Columbia,ワシントンＤＣ
,,
